"entrez_id","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"266743","NPAS4",63.779545886874,-3.9664279118723,0.337753541268751,-11.743556846133,7.6212401958066e-32,1.81042560851386e-27
"2354","FOSB",229.77470874185,-2.45650124744306,0.236060250589008,-10.4062468853342,2.32196118767446e-25,2.75790940066034e-21
"1961","EGR4",164.075947084367,-2.19782790369638,0.259669766174196,-8.46393454300718,2.58504946501914e-17,2.04692833471765e-13
"1958","EGR1",624.534880643055,-1.6240261446718,0.196596797570857,-8.2606948065188,1.44826949005159e-16,8.60091043404389e-13
"23237","ARC",451.137787396043,-1.32490983118707,0.180150196317907,-7.35447342421449,1.91681235925823e-13,9.10677551883587e-10
"27129","HSPB7",81.8400014499257,1.01260905327111,0.146068510149137,6.93242542309238,4.13685649408005e-12,1.40387180024102e-08
"140876","RIPOR3",330.478285420887,1.26155161351031,0.181619190160925,6.94613610154577,3.75426596685503e-12,1.40387180024102e-08
"6539","SLC6A12",1820.63824685701,0.934425787656166,0.136263616603331,6.8574855926239,7.00830901993073e-12,2.08102975960568e-08
"23053","ZSWIM8",1963.98218554246,0.406166960145034,0.0595755035705903,6.81768404464717,9.25198398485337e-12,2.44200977289102e-08
"5690","PSMB2",1612.87085942442,-0.379318622138212,0.0564200899157226,-6.72311268388297,1.77882907921133e-11,3.97465794013664e-08
"80332","ADAM33",589.398895625716,0.937898171772319,0.139606687530355,6.71814644673372,1.84050672875197e-11,3.97465794013664e-08
"51649","MRPS23",750.824319086538,-0.404060053301294,0.0606377180364465,-6.66351021089601,2.67363461514136e-11,5.29268252355691e-08
"998","CDC42",2470.0239164815,-0.331501341292727,0.0500829426555578,-6.61904679947835,3.61522395725957e-11,6.60612654651546e-08
"85301","COL27A1",556.282717597904,0.722570047708558,0.109406198452171,6.60447084288778,3.98939715294268e-11,6.76915209772524e-08
"25959","KANK2",1130.1085906866,0.747468027058296,0.113616071373319,6.57889344371249,4.73962268569189e-11,7.50598245990739e-08
"10001","MED6",294.184671215065,-0.336845547919253,0.0512780489118337,-6.56900087010754,5.06539884952896e-11,7.52053435441002e-08
"5686","PSMA5",933.051382062094,-0.393987132484477,0.0602515454060812,-6.53903779279181,6.19158793828769e-11,7.74111428810653e-08
"2159","F10",38.3700687192877,0.740485086657604,0.113231697754195,6.53955651415788,6.17015233808133e-11,7.74111428810653e-08
"146705","TEPSIN",486.549108719005,0.502256834162481,0.0766781248425622,6.55019714154108,5.74611770827264e-11,7.74111428810653e-08
"57661","PHRF1",1016.95905940597,0.349299633356845,0.0536444841621672,6.51138022505562,7.44633910554691e-11,8.84438927261334e-08
"105378083","TAGAP-AS1",52.7644314483041,-0.52971800153088,0.0816506341753354,-6.48761650023895,8.72049051099989e-11,9.41614782221829e-08
"8013","NR4A3",135.54227252359,-1.29531782948418,0.199463946375279,-6.4939947946639,8.35896372213188e-11,9.41614782221829e-08
"51263","MRPL30",551.173621865821,-0.404302975950861,0.0624072130487429,-6.47846548819736,9.26601191378054e-11,9.57017882660247e-08
"2570","GABRR2",48.4151383723889,1.2229273051785,0.189193865671141,6.46388454953503,1.02048741761579e-10,1.01006994189429e-07
"1278","COL1A2",400.622051259274,1.05549567093783,0.163599762960186,6.45169437803339,1.10606464529909e-10,1.0105602172723e-07
"9726","ZNF646",553.440729915406,0.344370278142209,0.0533469892263982,6.4552898511431,1.0801196996015e-10,1.0105602172723e-07
"266727","MDGA1",480.537147479191,0.548090925881976,0.0855093222320742,6.4097213213133,1.45785870879311e-10,1.28264568990298e-07
"116985","ARAP1",2630.40442224508,0.501559828055404,0.0784683446271085,6.39187471634428,1.63864138142084e-10,1.39021164341615e-07
