entrez_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
28969,BZW2,376.7884835,-0.521732336,0.093683277,-5.569108511,2.56E-08,4.39E-06
107985392,LOC107985392,14.22001985,1.395768856,0.251459381,5.550673236,2.85E-08,4.73E-06
429,ASCL1,604.7016392,0.52242392,0.094458928,5.530699208,3.19E-08,5.02E-06
8483,CILP,18.87285723,0.648904595,0.117322016,5.530970391,3.18E-08,5.02E-06
11173,ADAMTS7,77.90070612,0.603309951,0.109106575,5.529547172,3.21E-08,5.02E-06
7145,TNS1,3906.650598,0.610385849,0.110662394,5.515747719,3.47E-08,5.32E-06
4641,MYO1C,773.0431777,0.557637604,0.101180432,5.511318654,3.56E-08,5.42E-06
64946,CENPH,32.84308927,-0.547310618,0.099449225,-5.503417627,3.72E-08,5.57E-06
105374898,LOC105374898,663.9100539,-0.795639547,0.144896424,-5.491091683,3.99E-08,5.75E-06
728084,LINC02458,22.92736498,-1.109596278,0.202053126,-5.491606596,3.98E-08,5.75E-06
728798,FRMPD2B,124.1405926,-0.924961219,0.169042672,-5.471761719,4.46E-08,6.23E-06
57572,DOCK6,729.354317,0.629482869,0.115151839,5.466546373,4.59E-08,6.37E-06
5368,PNOC,37.29739529,-1.1461745,0.210066321,-5.456250652,4.86E-08,6.64E-06
92154,MTSS2,16371.07809,0.579182623,0.10635852,5.445568639,5.16E-08,6.89E-06
151295,SLC23A3,22.03975956,1.023489107,0.18871973,5.423328594,5.85E-08,7.55E-06
348093,RBPMS2,98.78265036,0.619912665,0.114456627,5.416136081,6.09E-08,7.82E-06
146850,PIK3R6,64.86507306,0.726944249,0.134440013,5.407201576,6.40E-08,8.09E-06
6750,SST,347.4697761,-1.28842185,0.238539503,-5.401293439,6.62E-08,8.27E-06
4776,NFATC4,778.4494374,0.595710587,0.110511812,5.39046981,7.03E-08,8.60E-06
101927245,LOC101927245,3.866690382,-1.100149638,0.20417997,-5.388136931,7.12E-08,8.67E-06
3707,ITPKB,10234.07053,0.543070037,0.100941751,5.380033839,7.45E-08,8.90E-06
2176,FANCC,168.6876399,0.556786052,0.103658908,5.371328575,7.82E-08,9.12E-06
51299,NRN1,1466.714217,-0.769917938,0.14359408,-5.36176657,8.24E-08,9.29E-06
100129316,LOC100129316,7.161610584,1.143083471,0.213118013,5.363617344,8.16E-08,9.29E-06
89846,FGD3,123.7984736,0.637668423,0.118864048,5.36468708,8.11E-08,9.29E-06
23710,GABARAPL1,5265.407265,-0.588415526,0.109886009,-5.354781107,8.57E-08,9.29E-06
201163,FLCN,2099.275492,0.516998415,0.096430884,5.361336463,8.26E-08,9.29E-06
105376872,LOC105376872,11.14867856,-0.937027213,0.174940649,-5.356257795,8.50E-08,9.29E-06
415,ARSL,54.75058371,0.577509554,0.107779347,5.358258076,8.40E-08,9.29E-06
27018,BEX3,5364.355045,-0.504864666,0.094235759,-5.357463807,8.44E-08,9.29E-06
2571,GAD1,1081.278187,-0.971394573,0.182081602,-5.334940827,9.56E-08,1.00E-05
1325,CORT,80.77751567,-0.674218514,0.126600163,-5.325573809,1.01E-07,1.04E-05
101929331,LINC02975,24.86409947,0.92247865,0.173288348,5.323373792,1.02E-07,1.04E-05
6926,TBX3,231.1863266,0.845456654,0.158808454,5.32375092,1.02E-07,1.04E-05
9509,ADAMTS2,80.24174072,0.682526734,0.128273726,5.320861526,1.03E-07,1.05E-05
112268235,LOC112268235,27.04576583,0.840261523,0.158018972,5.317472395,1.05E-07,1.06E-05
23533,PIK3R5,194.5160287,0.861615409,0.162144575,5.313871341,1.07E-07,1.08E-05
101927532,LINC01736,227.4895053,0.882684638,0.166353858,5.306066539,1.12E-07,1.09E-05
2995,GYPC,353.3665712,0.630553367,0.118838641,5.305962469,1.12E-07,1.09E-05
646023,ADORA2A-AS1,40.39180806,0.717113127,0.135160102,5.305656899,1.12E-07,1.09E-05
